"nb_article" "article_ref" "site_nb" "site_ref" "country" "state" "town" "latitude" "longitude" "altitude" "WRB" "prof_max" "sampling_year" "natural_cultivated" "landuse" "modern_paleosol" "ecosystem" "level_top" "level_base" "support" "D14C" "D14C_sigma" "level_stock_kgm.2" "Tann" "Tjan" "TJul" "Pann" "Pjan" "PJul" "aridity" "D14Catm"
"1" 1 "Shen_2001_Radiocarbon" 1 "Wukesong" "China" "Guangdong Province" "Zhaoqing" 23.1558 112.5108 315 "ferralsol" "NA" 1995 "natural " "natural-forest" "modern soil" "forest" 20 30 "bulk after HCl" -59 "7" 1.41 21.9 13.5 28.7 1733.2 40.4 217.2 1.503 113.4
"2" 1 "Shen_2001_Radiocarbon" 1 "Wukesong" "China" "Guangdong Province" "Zhaoqing" 23.1558 112.5108 315 "ferralsol" "NA" 1995 "natural " "natural-forest" "modern soil" "forest" 30 40 "bulk after HCl" -457 "6" 1.18 21.9 13.5 28.7 1733.2 40.4 217.2 1.503 113.4
"3" 1 "Shen_2001_Radiocarbon" 1 "Wukesong" "China" "Guangdong Province" "Zhaoqing" 23.1558 112.5108 315 "ferralsol" "NA" 1995 "natural " "natural-forest" "modern soil" "forest" 40 50 "bulk after HCl" -251 "7" 1.27 21.9 13.5 28.7 1733.2 40.4 217.2 1.503 113.4
"4" 1 "Shen_2001_Radiocarbon" 1 "Wukesong" "China" "Guangdong Province" "Zhaoqing" 23.1558 112.5108 315 "ferralsol" "NA" 1995 "natural " "natural-forest" "modern soil" "forest" 50 60 "bulk after HCl" -186 "7" 1.06 21.9 13.5 28.7 1733.2 40.4 217.2 1.503 113.4
"5" 1 "Shen_2001_Radiocarbon" 1 "Wukesong" "China" "Guangdong Province" "Zhaoqing" 23.1558 112.5108 315 "ferralsol" "NA" 1995 "natural " "natural-forest" "modern soil" "forest" 60 70 "bulk after HCl" -208 "8" 0.89 21.9 13.5 28.7 1733.2 40.4 217.2 1.503 113.4
"6" 1 "Shen_2001_Radiocarbon" 1 "Wukesong" "China" "Guangdong Province" "Zhaoqing" 23.1558 112.5108 315 "ferralsol" "NA" 1995 "natural " "natural-forest" "modern soil" "forest" 70 80 "bulk after HCl" -292 "7" 1.06 21.9 13.5 28.7 1733.2 40.4 217.2 1.503 113.4
"7" 1 "Shen_2001_Radiocarbon" 1 "Wukesong" "China" "Guangdong Province" "Zhaoqing" 23.1558 112.5108 315 "ferralsol" "NA" 1995 "natural " "natural-forest" "modern soil" "forest" 80 100 "bulk after HCl" -403 "10" 1.94 21.9 13.5 28.7 1733.2 40.4 217.2 1.503 113.4
"8" 1 "Shen_2001_Radiocarbon" 1 "Wukesong" "China" "Guangdong Province" "Zhaoqing" 23.1558 112.5108 315 "ferralsol" "NA" 1995 "natural " "natural-forest" "modern soil" "forest" 100 120 "bulk after HCl" -402 "6" 1.73 21.9 13.5 28.7 1733.2 40.4 217.2 1.503 113.4
"9" 1 "Shen_2001_Radiocarbon" 1 "Wukesong" "China" "Guangdong Province" "Zhaoqing" 23.1558 112.5108 315 "ferralsol" "NA" 1995 "natural " "natural-forest" "modern soil" "forest" 120 140 "bulk after HCl" -439 "6" 1.39 21.9 13.5 28.7 1733.2 40.4 217.2 1.503 113.4
"10" 1 "Shen_2001_Radiocarbon" 1 "Wukesong" "China" "Guangdong Province" "Zhaoqing" 23.1558 112.5108 315 "ferralsol" "NA" 1995 "natural " "natural-forest" "modern soil" "forest" 140 160 "bulk after HCl" -503 "6" 1.5 21.9 13.5 28.7 1733.2 40.4 217.2 1.503 113.4
"11" 1 "Shen_2001_Radiocarbon" 2 "Qingyunsi" "China" "Guangdong Province" "Zhaoqing" 23.17 112.535 190 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 10 15 "bulk after HCl" -95 "8" 1.5 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"12" 1 "Shen_2001_Radiocarbon" 2 "Qingyunsi" "China" "Guangdong Province" "Zhaoqing" 23.17 112.535 190 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 15 20 "bulk after HCl" -64 "8" 1.25 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
"13" 1 "Shen_2001_Radiocarbon" 2 "Qingyunsi" "China" "Guangdong Province" "Zhaoqing" 23.17 112.535 190 "ferralsol" "NA" 1995 "natural" "natural-forest" "modern soil" "forest" 20 25 "bulk after HCl" -102 "8" 1.23 21.5 13 28.5 1744.7 43.1 212.1 1.542 113.4
